Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
42020 Twin-Rotor Helicopter by Faramond Florent [Makou], CC BY 2.0, https://library.ldraw.org/library/omr/42020-1.mpd
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

42020-1 - main.ldr | Faramond Florent [Makou] | Redistributable under CCAL version 2.0 : see CAreadme.txt
p/7-16cyli.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/7-16edge.dat | Orion Pobursky [OrionP] | Licensed under CC BY 4.0 : see CAreadme.txt
p/7-16ring3.dat | Alex Taylor [anathema] | Licensed under CC BY 4.0 : see CAreadme.txt
p/7-8ring8.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/1-4cyli.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/1-4cylo.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/1-4cyls.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/1-4edge.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/1-4ndis.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/3-8chrd.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/3-8cyli.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/3-8cylo.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/3-8edge.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl2ho10.dat | Michael Heidemann [mikeheide] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl2hol2.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl2hol3.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl2hol8.dat | Michael Heidemann [mikeheide] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl2hol9.dat | Michael Heidemann [mikeheide] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl2hole.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl3hole.dat | J.C. Tchang [tchang] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl5ho10.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl5hol9.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axleend2.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axleend20.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axleho10.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axleho12.dat | Rene Rechthaler [Blechtaler] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol2.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol3.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol4.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol5.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol6.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol8.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol9.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/beamhol2.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/beamhole.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box2-5.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box2-9p.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box3u8p.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/box5-4a.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/bush.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/bush0.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/bush0a.dat | Gerald Lasser [GeraldLasser] | Licensed under CC BY 4.0 : see CAreadme.txt
p/bush1.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/confric10.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/confric4.dat | Owen Burgoyne [C3POwen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/confric5.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
p/confric6.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
p/confric8.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
p/confric9.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
p/confricrib1.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/connect.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/connect2.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/connect3.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/connect8.dat | Owen Burgoyne [C3POwen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/connectcollar1.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/connectring.dat | Jens Brühl [jb70] | Licensed under CC BY 4.0 : see CAreadme.txt
p/connectslit4.dat | Jens Brühl [jb70] | Licensed under CC BY 4.0 : see CAreadme.txt
p/connhole.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/empty.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/fric.dat | Owen Burgoyne [C3POwen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/npeghol2.dat | Orion Pobursky [OrionP] | Licensed under CC BY 4.0 : see CAreadme.txt
p/npeghol3.dat | Max Murtazin [SwampKryakwa] | Licensed under CC BY 4.0 : see CAreadme.txt
p/npeghol3a.dat | Max Murtazin [SwampKryakwa] | Licensed under CC BY 4.0 : see CAreadme.txt
p/npeghol4.dat | Max Murtazin [SwampKryakwa] | Licensed under CC BY 4.0 : see CAreadme.txt
p/npeghol4a.dat | Max Murtazin [SwampKryakwa] | Licensed under CC BY 4.0 : see CAreadme.txt
p/npeghol6a.dat | Max Murtazin [SwampKryakwa] | Licensed under CC BY 4.0 : see CAreadme.txt
p/npeghol6c.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/npeghol6d.dat | Max Murtazin [SwampKryakwa] | Licensed under CC BY 4.0 : see CAreadme.txt
p/npeghol7.dat | Max Murtazin [SwampKryakwa] | Licensed under CC BY 4.0 : see CAreadme.txt
p/npeghol7a.dat | Max Murtazin [SwampKryakwa] | Licensed under CC BY 4.0 : see CAreadme.txt
p/npeghole.dat | Max Murtazin [SwampKryakwa] | Licensed under CC BY 4.0 : see CAreadme.txt
p/peghole.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/peghole4.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/rect.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/rect1.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/rect2a.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/rect2p.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
p/rect3.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/t01o0556.dat | Michael Heidemann [mikeheide] | Licensed under CC BY 4.0 : see CAreadme.txt
p/t04i2500.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/toothb12.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/2780.dat | Guy Vivan [guyvivan] | Licensed under CC BY 2.0 and CC BY 4.0 : see CAreadme.txt
parts/2825.dat | Guy Vivan [guyvivan] | Licensed under CC BY 2.0 and CC BY 4.0 : see CAreadme.txt
parts/32002.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/32054.dat | Guy Vivan [guyvivan] | Licensed under CC BY 2.0 and CC BY 4.0 : see CAreadme.txt
parts/32062.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/32073.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/32123b.dat | J.C. Tchang [tchang] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/32140.dat | Guy Vivan [guyvivan] | Licensed under CC BY 2.0 and CC BY 4.0 : see CAreadme.txt
parts/32184.dat | Jeff Boen [onyx] | Licensed under CC BY 2.0 and CC BY 4.0 : see CAreadme.txt
parts/32249.dat | Ishino Keiichiro | Licensed under CC BY 2.0 and CC BY 4.0 : see CAreadme.txt
parts/32270.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/32316.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/32449.dat | Guy Vivan [guyvivan] | Licensed under CC BY 2.0 and CC BY 4.0 : see CAreadme.txt
parts/32523.dat | Tim Gould [timgould] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/32524.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/32525.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/32526.dat | Jonathan P. Brown | Licensed under CC BY 2.0 and CC BY 4.0 : see CAreadme.txt
parts/32556.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/32556a.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3673.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3705.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3713.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/40490.dat | Ross Crawford [rosco] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/41669.dat | Guy Vivan [guyvivan] | Licensed under CC BY 2.0 and CC BY 4.0 : see CAreadme.txt
parts/41677.dat | Orion Pobursky [OrionP] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/42003.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/42610.dat | Michael Heidemann [mikeheide] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/43093.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/44294.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/4519.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/50951.dat | Michael Heidemann [mikeheide] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/57585.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/59426.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/59443.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/60483.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/63869.dat | Santeri Piippo [arezey] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/6536.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/6558.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/6589.dat | Jeroen Ottens [JeroenOttens] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/6632.dat | Guy Vivan [guyvivan] | Licensed under CC BY 2.0 and CC BY 4.0 : see CAreadme.txt
parts/87080.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/87082.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/87083.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/87086.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/87408.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/99012.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/s/15100s01.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/s/32316s01.dat | Jens Brühl [jb70] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/s/32523s01.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/s/32526s01.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/s/41669s01.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/s/60483s01.dat | Jens Brühl [jb70] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/s/64683s01.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/s/64683s02.dat | Jens Brühl [jb70] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/s/87080s05.dat | Jens Brühl [jb70] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/s/87082s01.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/s/87408s01.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
