Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
42054 CLAAS XERION 5000 TRAC VC by Philippe Hurbain [Philo], CC BY 2.0, https://library.ldraw.org/library/omr/42054-1.mpd
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

p/4-4ring14.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring2.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring3.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring4.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring5.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring6.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring7.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring8.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring9.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-8sphe.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-12chrd.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-12cyli.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-12cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-12edge.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16chrd.dat | Michael Heidemann [mikeheide] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16co11.dat | [PTadmin] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16co19.dat | [PTadmin] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16co20.dat | [PTadmin] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16con11.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16con19.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16con20.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16cyli.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16edge.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16ri19.dat | [PTadmin] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16ri43.dat | [PTadmin] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16ring19.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16ring43.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-24chrd.dat | Alex Taylor [anathema] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-24con24.dat | Alex Taylor [anathema] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-24cyli.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
